user_name,cmv_comments,cmv_subs_commented_on
557,727,CyAVlEWAxTpoIiGQMfoi
36,790,kBdqmaDtLnOYUoYAtwbz
47,293,ABpFOxALpSYTLwONCCYq
239,699,oEjMSVSViIRCzCcSeMoe
196,283,zxPcpGvLpHQXPFHtyHyj
375,393,AGbDeTGZqcIBJCZYUWFh
731,853,HIKnLzNExltPDItBjAkr
44,67,tKwBokqNEIAKiAWeQTJA
410,600,MPePBuQwsLijZRooXAul
16,250,BUAToRSUSEfpLmSaSUmM
4,574,UlhLFDonneCvlRzBRNCV
19,576,tJIdYrzvoxHJpHHgbcms
72,709,DIsaQXlPLteNUVFSlIjb
216,762,IqVyfeuENyAqcyDwZzKu
867,919,tfTyIEbWjeLeHZqCpldr
31,45,zYIqbHfaUpPDlHHDiexM
623,720,vldOgDuCeybBQxTtYTiJ
877,903,klqFQHsFXLDyKAFyVmey
49,83,dOzKXmRIbSwTteyRYUMF
310,523,dLVaLKRCpyxXSXnQbvae
361,748,qCnswRzlHeOcebkpFeZO
632,870,LMBuordKHUpkjYMzMDyw
153,252,ebnVAlOskMmKEDOFsFoF
238,806,UPyrOcMzmMRiUVWPNXmz
52,260,YeFKJMIOVPamjrIHUDLK
51,91,oBVyzYNEFtWHJfsDBdbO
34,653,KEtFBAUUCkXRfEWuifwZ
124,442,BhQYUtvJOyhKxNQcYzJD
51,300,FalkzNmrvtJFiNMFRlkv
8,25,IrLGOpJxMiWPDTzkbXzW
122,214,PrgEoEjddYUvgQmEgAVi
9,12,ZemIpAzSVnRCtBrVdtJk
11,37,xefPthsAtVxrpxFiSaRJ
682,978,fPMqJkMUZEsAuxLewfqq
65,68,VAmlneUNCMWJBaKboECF
479,582,zuWqDKwSsRTbssLbbeLM
52,163,MzYkwOItLibkWQKqPNdD
364,598,ThQWhEqgrqhwAnNBXvZS
334,425,imgrTagmAVdWuEzwFPYV
388,472,JKqDXAULPWhBamFVeVJv
26,403,SeXmwIhZDkJnkiOyzaja
237,513,ZToxkVibSefkjWBRfxEA
282,428,TRnGVafpWFfnnCTJZIyS
1,2,unwujpQpEwPIUwCvGlGe
418,788,eUnWvBkGpCfFVgfYKxaG
320,332,TKWSNSAkpfRAGQOryxLy
16,27,VUmgyVYsMrcukXOXZiOm
311,353,wLalwygZlYNEGtyZRYxX
532,883,WZAUIaIJMhJeJCnHTvBj
290,352,zGTbQTIpUmtPmVYZJRix
50,118,ULkTcnTysEAZOYqjFLbI
388,406,jBGpYrNaowtlhXgeHoGh
368,386,agkGGltSvHeCcrUkyAXV
245,249,qJCWTqztpMiaGaFgPUHc
201,539,vbuJHNPYkIthPuBlkMYG
615,649,vwcjiYxLAqWhjkBLoAwS
57,87,XojNIxPmUvzMzyvBVpjt
873,968,PxXzozIIhiLryDZXUVsC
234,615,iHBhYlKQkCKSBXdyIkqO
2,45,oyBArJmaRaupselwcLqE
18,477,DFRJCqhmnjsSDhhXTruf
400,964,xQgnNMPRCUSllBvqujaf
219,361,KGMClPsUHTVkXNIzoChR
736,773,lqzwoTxTejrxSiCUnzVo
44,110,tDWppSTCJLKgrIVLHWwJ
69,100,HZhnkSLOevnqDJnBNAWt
305,997,gSHORDtQxSzCTBibiiUf
913,941,xhxVuvuHBPDFtRxanYjK
534,599,VuuMMswraKylsVwowyHO
148,960,FVGJjCqdWCWDElcGoCxa
160,345,jnuPxZJCyexImrcWmYEz
396,780,olnXCToMWcGqAlRcidUE
116,177,AvaDOdgdymXnlrmwvYBp
717,789,YrUoqzSkLAzxRFSfwFRT
470,940,SudtEDZmBylpioJSJTkw
16,33,joSHvZEiUrmBGoKByeyE
51,214,oiTjhMhvyNOzjCkUnNtE
99,854,wbfQMsDjqghKmbXSPeCi
572,581,IHWYMZmPOUVRrPScXUdH
174,914,vNtGFhsgGzTdPLqzIEjq
748,827,breDfhVzYbTNqSUkJReN
143,938,eePhvIAbeFbrvbFWfAmH
141,172,ldkLmFtZtdLVQJuqbKTz
359,459,doyRHhaIyQOdSDTjLDvl
85,462,AtoORjOiukFektCpLMBP
281,297,FeNoAZGbGXgKrFqRzkGX
9,18,cgCWaUtdZaDiUsSKYzWf
449,694,UAxwxrhjyacXvEuFMxSC
276,951,dKdJVJUkrftmaXmRJKbj
148,242,BCEtzsJRCamXELTUBAzY
58,164,LdohqpzAZZzPPPWosHlX
186,469,dxLLOYdYULwTmXXOAXdu
488,563,GhMfAmMzMZkcQamWnqXj
571,999,ZRqSGiuuXIKDmVTkKcbf
34,146,DdCtLEdjuYquXqmvdMzB
126,179,zGneoWZKrJuYmdtaStXY
143,220,VIzVgVdiyrzdplOTgNio
3,10,vQbiYQIYybiLWdKLbngj
640,854,OPajjxezNKaTyOBaXjte
278,799,ReBOBBtkEGTvzNDzTWjj
336,521,VPJoPsygllRtVHCWtOYY
470,975,ykFBAhyZUQmwfucppXOS
198,303,BLpyqFnRcIuQvQYPFDif
803,948,ikoRPfxueUmZtjABOnDL
474,981,vdkDsBTlNGUCZXANbbSv
68,119,JnPBWRvwuAFJwtziqXGr
693,696,MxuHfEsCzchaGbRAOBRA
447,839,knVUOmikXdQLIqDzlAOO
118,282,QkYtsAgOYyxLjGnhjZJQ
257,931,KwqAqpQXONsYcabLtCKK
67,79,xXmQWqcgHfnrmghRCnnm
433,994,KjQXLBsMSIhnjWBRNvUU
329,623,MgdetZZLHNaIuQRwVAzR
189,375,zfOrrcHvVJsGyNbSuuns
132,807,xNNdtwJwZKxDkXBexGbt
119,871,RaHyZDbDqCKIxVQoJUyI
68,140,CybGOQTvYqqzwtOUPiPB
37,51,XiZnxAyjoUTgjtkAxvaI
223,451,BtBYwBVoDNLIqwwRMobM
102,283,pgzlMAnMoJcHpKzQplbr
219,902,rAuzqdxwYClbjhkzaOTi
70,770,JkTPDJFKVmMGqnWxwhIR
193,231,fsAxEEOMfnynAQKUKJzY
433,558,VfuSRCSgLfQyonKkxccI
366,794,UsqxnYoChEHLRWYOkfoP
34,97,fVniLRDSIcjafjLkwKuP
387,581,rmzxhFGRrpCZAIRXnvLG
41,604,cIwQhwrDWtQOJzsfhAgJ
346,705,ylGfeoTDKrviITjujdeD
836,842,ysqBTPgEbfriWsXxQplL
224,794,wRYbrzNsNrvtqFkYTvZs
228,262,PPUEjutonisAIPhNJcun
357,711,VVsCmYyRoZDCgfXPfziq
78,98,CWfJXHDCPyLLeuxkYJPt
564,797,hLJrtyvqcVuVZpRHbUsP
143,400,ZApxazcCsUVpWZSGebNt
306,417,GyAnnmZslkpEoOuTZdLU
3,40,RrGGOCbpunfQbIPjIwAZ
199,522,nVnTxWMHeSEjfmjUiJuk
285,365,vYVwjYOKzYaWlglzSBTr
66,613,lADViluLpDNOrMKMlxEC
68,947,eIstIjPshBqPIJZqFYSq
198,442,GgNbvqqPVGtmKjwqAGxa
190,233,XdgXjTTDBzQdobKrKePo
306,437,gShVUelNJnDEzkbOuhBI
792,798,bwEmgsolhFdAWZBLkNhp
190,529,TMmhCOPFyIdtDBhCJRnS
216,499,NrgdVzCkthDbNHCCwwqO
40,50,nsfbhKkTkXkSJcNrAzlm
337,977,HxjVvTZPqfTSmpvcvErD
189,413,dTFesfahBCKbPoPsMPgt
148,796,jZkkpbqxJnEtWXaUiEtX
486,620,fJUuTJYdcCdWmPJpxORT
247,786,WEfcYVcuIxvFdouurCSk
376,863,IHWiQgPkvCnjGoGGiOga
359,523,bMRjunZUOlftZUvGhgnS
181,906,kyqsYzcrVfwOHtfcwbyO
221,728,GSvjuveawsjIruAQNzpz
10,15,tBZzIdRufxXtozlAhKjx
22,27,QAdKvaRjBDVEEctUxIVg
437,873,OkGiaUxQqYvexTvdodoG
856,925,xjhvCTZLTFctgpRMOdcW
397,602,yxhnzQbOOtUWrgQaNOtT
119,540,ZiauCJwUVHQuOOeunQon
143,146,zwsUiHOgtEdSsGJCeMCa
49,908,gEAMgjcpAnhZUAveZjhD
793,952,NfYDIqBszwnHzYBvKEDk
16,500,wfxLzQBfWhqbTWLaHzlE
2,21,wJzrHbQTszSYqNWwCPAC
139,801,UqRDEvudZsLOmbKEvFGc
195,902,XEgWiBBAgoVZQIoqCwrD
310,406,qSFvcvVBvSWhtdmpuiMB
571,807,sYlJVVSsefzAWnAhZmnO
20,23,xScOrcdHCnherGgmaamH
393,895,OBbMluqPRdrJnmMDkrRx
296,418,qtscxabGcbYFEoejiMGn
216,510,ZaZZFgFBacCjyDWbdewd
131,300,xSFYCfEgaXMrhxWGIOoG
342,563,rCFsFKZxozRwRNdvWJyj
11,50,ItabbNuOZrdyImeQaRWy
56,66,UmxAgspRmxcrSIqSrpIu
151,247,eYysgglHzEXZotlEIFzg
61,271,HgAmwPJbLaZbXrkSpDOa
13,327,gtyqMlgzCJcRGqQRgSXg
334,854,dCUJMIBQAJdEpOVkibDi
343,503,BWDVqQRaUzEAscAQSTxr
74,827,XWdWrrOSDYZZMMyIjvVa
843,890,PHMZjdFiwjlApvkvkBDW
75,747,xBEMzTRiXIESyvERyxjE
191,376,NjAuLPNvOlGUvajBLwAv
326,563,NVNMPUsHOaajtgRaoVbE
146,291,GEUjFEJnvuJqeNWnFAvg
143,417,sNQTLMjQpFzybfZsZjYT
4,43,akYWvLPibEkQjWjEmbTt
70,481,MIlUkqEsrARdLywILsiX
806,852,OyPNqaQREsrMuiKLtIWH
21,644,MqSFnDZIOVUVpIHIoLoD
345,617,TrTrAaCwdGBZzcCSLuHG
43,212,paaDixiPDMnHRlLQtsCs
239,279,qDYVgcUiFheLeSynRlrS
96,277,iAUfqiweEOLZywlLMNdj
207,279,TuTgglRrjQaCvVhkBLtS
257,581,jQutJKmaOMjqbUuCdLrw
323,476,ZLYRgAODFUfgHvLgsugR
480,969,IHdBBSJpPmyJzyBHKigk
30,358,KaZBZakyTNxKpcfoeJXe
468,626,rNvbhFLYZlsOqbFgnqtI
448,896,JGHVnUDMdtnSdQePzDXR
565,756,cdzFvEdMotqruKeausXn
284,544,IAkEUAGiGQFMuEWcmLZG
336,407,uNZgerXcEpgHgGynARte
177,278,mCCNMXfoouOkvjCFqabb
109,123,zxlhtsmcCSTmhKDkVlqS
6,9,eHHVhsRFRBpepYpneBcv
134,316,UXFmKSTunrlEKumeesoe
64,101,pTJZheKFYPDOUbvnaDYe
72,89,jZshefflQfUVelRnLwIi
114,398,zJYexpTSljIEpSFKloLc
443,576,RzvPyWYUwBVfxyUpXSeQ
177,407,CzKuKjYAoFiBXtQndxcY
559,623,WADkNxhTwnBmYCRKaBJI
60,472,SAhePphTiWTHYmJUwXxI
352,443,nVWupMpKHyPVBXtmkXyY
95,534,AjsHxRCPkCfiUJHVdtMI
86,617,SpgXEOkOdYqRVefkCoLl
667,969,uBjmCPAgYFolXCWSDbBJ
79,270,LxmdCoZDHzHkPkpTINBP
313,318,nnofMdqTFUbPBkxxwcke
108,314,qLvBAIEAwowSmaTmZXyO
491,741,frBzAdtoEorYAGSDAVpE
10,527,FaHPdsIBosAyrdGnWmNd
643,793,PBOToIyYDAugzDtssRYn
216,309,RHBugnVzymHFNAtrnErd
21,141,ppwsePuuVqJfVlFFTozt
66,639,vEGfwWnnvhfIBnQnzbne
178,271,ebEcFdmVjTaqGTvrFdxn
288,973,NYbvXyZutcDIwHNbveds
635,932,MJjQgzYnJrpEmcdHUbSA
31,68,KAxcWmJnlzSwLUnLiGsj
212,241,qWgvaekmtkzlyzSUPGVC
575,620,IrZDlgkzYRfKEWlACgpF
8,71,nwNXAHYwFNXpiXSdpudb
151,193,MxuYBNFsmyqsuTZdxisq
59,800,uCQvpbWiUAOFgXAudGYz
611,724,bMagiiCCQyMwUNboqDzg
69,845,fVIdsZlJOdbCFOUQBjtG
383,477,XuebEeQliEOdxtsmdNDA
228,930,DakZCdxzqCuyfDLnhgeZ
382,414,hVEWSTLTRCbfHQrrRDXb
360,599,wXCHYTGadktOnNriGwWA
496,916,gFepBUWvavyRxhGTYjMJ
27,131,LZtqXjBXtPvlVLpcZuhy
351,492,tZDfWXabYozpLyIlGCsj
375,390,clFVTpTIAhBVXNTcwrEW
278,508,CLVcvNmNWRwQwcPlXfba
6,393,ysMFRjsNvySNBhWVRUcD
283,849,MNCzktIPVgzTFOpSZpGi
318,396,uFMudEqpdPevLzFygSCE
45,274,RGwThztNvDYhxOawfDEH
370,448,essPvndvbRHyOLxSIHel
307,905,uOLqAHzfkYrbWHFgOpUH
39,181,VlUAqPdknzwFtMKDHDcL
124,315,gYVUmOQjTMsRYydXgLkl
63,570,kOLZzFmEgaYsnQDQUAlw
336,925,zuKwvmXRoVPGNpWHRsFc
163,204,ycmndLVrtOGxzomjSLrU
1,17,nsTGthaQNYtLeHRUscJw
68,72,SnhaaXVpQlHSGfcAGbCp
692,896,mxBokPjQnFEJNpsvwrkf
226,237,PlkgRZphIkPaVdBSdlUu
390,396,QTrZfKBcgyNBcawkajIg
339,660,bzRtifvBwsYTJfCLlJfn
150,157,TugNrPQcUGhPHxDnZZKG
180,288,wcKJQqISgzDWVeBXHIry
197,632,DBYSykehmqGzrlnxZhFR
55,710,tUMsjsdMHMVahgjgkYFD
249,251,FjEXOEfGXJZPySPvBUBW
94,914,hJrXhMCzJpHwfQiYRMNR
165,473,NrRvCgbKPrDDhsHnvdPZ
44,833,WcjjZactjKrMWayWtora
286,353,NlPRaGHBBaqBYDODSrLF
513,771,rknpzlrHkXrNXnBnNpfq
139,525,IsERgeWcUcANSMWaCDhr
138,749,AiZFcIzynojRkROTjxqR
360,645,FRJWPnvCDyxfBjTBoqSe
764,776,kcvydsqZoyucXMGYxXmo
210,940,cnEFgNNTatldCUiHLwUW
160,345,SsfWuxMNgtvwwptkofNw
17,103,oyTzmAzpCTTiBbvdaAXW
249,350,bFzlFlgDxxRBGWcrvbpv
7,30,jWmLTWrwqnPfYsfyRVca
54,814,krRTktAGosnVXvzYyMzn
172,332,zeBNvZRFCNZDWLZgYtEF
123,681,MmwrlFGcukmhWvUmlmsX
245,908,BaSFpaEBWTzNNOjslauX
153,574,iVvlUXctkfjexQsdLxpK
39,125,yaLdDtYFEAqHGSgMgpDv
6,34,GOhbrEaGGEOiejUZSvaz
92,853,XTRfrFLQJSPAHypQZJeC
74,159,ogwDXtVOdiHaWhvSZtrK
408,774,pJBgiqyykAiNavyiOmpw
490,703,FpFkudlLuBRUwAihWnYQ
99,210,wsmjjPGLcwRbABifVCwy
41,311,AzWzurQFaVkFMKpSCzOA
223,316,nEgRDPouPQqYLAHTJZHB
528,866,zqKUfhWcyQPtVUIDbyfF
304,638,jHthvzkeXSoeckKLmXeE
851,860,LpUYTQAEmjYOTrNSopmg
23,704,fLJPIpSqoqEGhZqLMkAS
542,881,qmtkxjXBcOVtNGPfyaAK
15,172,VKdmbiGjDuGZUgVXnwJc
106,592,EAaRhnIgYDNSqITcaxiR
247,590,oVsFEVXdKyYAcRjhAmMw
94,689,BDTyQqHuvskqCqGNxkfT
103,158,eoJdfPyaBcuPwEFxrYii
356,822,kHJXAaOXHoMheMiWxwxj
130,652,IGVCSIyfToOVqMViypCl
58,103,VSYdOyyGnuawQwXSGqfA
709,985,LEDyvFipqMNFiJveSMMa
101,104,YyohAZWPeEaIaSkqQMvl
4,5,rHpznbcsFVTXotdQzYER
145,928,ZbDyTRalmqUsDHctpFIj
334,730,CnpARMPAdYoHvsDNWarO
321,794,kMCvairiLmhfcVJVGgBs
847,916,IGrmMTaapgsmilEgcSqz
87,525,HjaShSZlAfRtcVmIMJsj
204,269,zbGJKBOwrjbycfmXFpuJ
47,52,sLyLUgOGoGpKDKVljOPN
184,806,MUaQSLXgdzeiHBRyFxaF
1,276,bDPFxZjSJixOGvmsZlHG
19,124,LqMHPRqWQBmgLZXFnfXM
100,225,ppNJpxvXxWibuZftdSjK
145,578,QnoKzYDwWLmWoEutZHrg
58,165,rqSXCftfUGvpUGGTfkcM
356,411,IPwhfXLAidqycGNCqdeK
901,949,bdiyWpfxFRTCnliWSrho
308,614,pmRHGrXWfPVlfeYHBOyh
94,283,trfAWxwggQquPAMTlsFz
64,567,oarimLWHqadmNElpGdWX
439,875,BvGYMUyVaPeKAievAYZl
593,726,MlyPoeEIrbEHBuxJHeUi
251,306,lSQueHkRqIMwNvwcwFaX
175,280,qvIUhCsJTxjykrovnAuS
221,225,tkfrCqGBmipQoxKSEulI
474,529,yBwCCbrGXmvrGNUYEJut
449,686,DWjtrsDZLKfQDFxfQEFO
136,187,UhvCFUxAMRXHJTiOOAzI
887,987,LccjXhMzCWwHHZSfTjmJ
24,27,ksJdOVWtSbnjUuiVzMMG
845,864,NDzPIsFvBquPmgwqYuAs
447,881,CMCFfHdznnxOxXXfViTj
518,635,xlQucDIrzlGssNSKKzZM
65,286,pQYRmcYusEkLCjMQDkKL
37,109,wGMGgEXhOAdlpcoddSUG
92,749,KOZwYkjJIkBtxdApoKjr
45,95,ExtJFdOezAFBnlketOyl
233,274,VAhydILpqlEwVOdWaqoT
389,556,yBfVBXFhpiAEKPUULlMd
140,248,RMeUOOrSbxzylSOcGced
89,712,AigMcxzEbeBeyRqBqDGf
26,116,ANNuCduyotQTqXJnHGwA
150,372,VAvAqMtBbuXyRvMwYxlV
90,110,ZCGeAhNnYxpwmAfvOETB
10,48,nKvLYjHSDzBXlbymoiJT
88,283,vLXlFyrHDGKZsJNjKZWD
386,597,YOAeUQViRZwHnXTHIidr
155,205,lgZHrCUiyrlnYyvnHNrE
174,313,TRnDEaNtYXuOxPtIbxJg
175,201,zLHXdhOTECJWcbVlgHhR
110,555,TEMYKmwDouzJmAzmTonr
7,77,VjzFHoVLTrlKnMzqiRRd
239,353,EIAHoErMjUSfOpngRndq
487,947,ZDUrYiLnkHJblHTYyGUS
660,732,YAPMOuFOQqVhjuKZbfBj
241,598,pMdLNXBLQwaoMJTnrntw
226,248,NRHaFXGCKnmUtGlAtbLv
720,820,wMGTSofwdVKeYlBGKSEA
401,742,UaIzGXoRXvzqocqEIlvo
483,626,xfLBUfAdaMpsxUphEWCu
259,821,UWoEonjkBvNOtCTQNxWc
35,869,ataIhzykVZJNMaIaCvXC
332,850,YRDGCNGRLUFiDdpsrbXu
216,349,FRkcJddmjyKbUxRNKOSs
101,640,ioElxeYZDcEFQjRDwMvK
226,260,DJuWxzfftxFQcyZwawUL
138,311,CqjZBfmhgsWvJGbePccH
2,5,RKZWiwKrTyFaGZTGtMpT
629,908,IhBeFYOUkqOViKGyNPtX
140,398,dpZmSXAVqswjpoIDIwkr
17,107,KzKwjCejNOWgObWaKRsY
324,794,VTNAvVZIwYaIVBfadiGL
627,639,pTZesolzNjGFYaxHMUht
47,814,nLiLgOwpuYpUIrprsYYJ
101,688,ltJUaaiULzGWxtpGNtqH
111,172,RhXTnIpWPAEZLEJQPBpW
922,962,sslZUEpazMJIUJQlRFNO
147,344,OBMwhrwamYnCyPRtvYbe
238,848,RydskeUvVpqIRPmpAhkx
181,342,jsdtfVCPomRmvMohALlX
242,610,WQDxncaZtlYZEBjdnlFm
92,123,oTIYBGXXLiUYPRtSsNUl
201,463,zckLYQlwBtAyZHUYjVys
244,299,KfuYDIYrYsGZeErgiGuJ
2,53,ICEyTdUKXfTwizGxofAT
167,213,IwawhibLAidtdPvjcPqW
702,813,LwTNzzJVKgwRZjoFQIGl
106,231,ResulJrYIgnBETMjKzqW
478,807,USYiIvyuPRGFMaTmULni
161,373,KfpCuiYDOQtJqufhSnpV
348,691,PwnTSujHrbOkjHJeSTpF
65,219,dUmcNTAQyOoBbJKrygBH
241,793,ZQqiEysnpUBmzCuYCJWp
86,254,wrrrkEqrgxIiYSXeFipi
196,701,xbOvAHdlUVVUjaVtJQfH
814,899,sDPeEUiuHAhBtAIpwFNe
578,600,UvfKkbiqBCNApysNZwWI
63,81,rPAYyAYVeTRAbtZsEFvn
156,285,AFEYIVaBVuqGjekIuZXA
131,143,zSsfxGAKjEQLFYFlRfRd
51,486,QUvdSfavkGUSnpclGJmE
614,829,VLSCQgciHSnInAvXqLoZ
106,301,PbbyhqGUocqJEqIwkozS
304,332,oBJRAHwneMFYrxYwTyyg
95,222,ttbcSffaUhYwIknGplgy
120,202,pRdmcdptZFoWLeDBCkon
250,467,fXIbFcgxKLuJcBFueBWF
813,815,UZtEGsBcNCfcFHgacsQH
32,101,bFrliGfwzdUQJHscaRXK
494,976,ZZEOyoOsjyKhaQetVIxR
188,849,aSruXivMUMYUuoEvNirm
850,960,uSWVYlBBISmFowylTUSi
44,824,RXDghORaNivoGoSkuVYS
237,581,LFHDJqxgnaFJsgEKURRS
9,14,ZxibYKsdXvGsNxSukLDh
139,606,hleRvSGBroqaIpquVhBK
32,59,AxdspniLjWSYroNbzXNQ
54,403,zjKTakjPHFywGzmgpVmI
163,307,XXRPiKgvVmtASBjOKWWI
417,650,cLiNHsDNrIwdWCQonWRe
735,988,PdPJzizNTWakVBpUJZVV
501,525,dMbSMiBazFzqoKpSglWR
65,675,ygHsiqyMiWRXiGQYHFNg
674,881,lkybrscVlmAYgwoJBscW
47,53,oqQYXGwQmhbcVlMqJmxK
606,744,rMdOKiIhFVLGpnxLbXsY
82,525,HOzhYHhlaGUyqncjmaSQ
83,286,vdQwaZfFcjPuHdQHfpna
289,501,qiIJKCgVFeKqJEjtuhFP
434,582,cRtZHTIIauINqdEcQxBH
729,923,LsiKwqOHQaMrNXMXHELh
949,994,jKFEmhtJYWEFwHFoowJq
477,687,QUzcwQIJEWDiEWpZLxPS
227,654,gGsWrsZYzmHCHkgoPeaJ
60,138,axLkFYIhjCAhYpooCdyD
682,683,amerAAIXjSWOOXsTrkyo
609,928,ytIoQEKSHBrbemdufdic
359,849,bkeMsRKBnZYNbhXrlCjS
25,128,ZMAhMzrwcJdjISzxDyuL
47,87,NZXyVVNAWXyVedhilqze
141,375,yazclzKZDvoIxpmxTvAT
144,502,paViKhMlYpuGekiSANXf
2,4,YOFtyAKoIbNJnNesbDlD
405,847,vGaXIUFoDmwKpbzaiUPc
146,630,VaAZKkHEVytERtRSAvZn
242,369,EoVqCpRfLVPEAPfEjQQH
457,461,reMjYDDqCzIVHakFDpKJ
44,483,GSRPoQGkENIRLYzyAeYv
416,652,uNCplzWuOgYqvBWqijhi
120,201,iVAJLUBDvZEvRYrItDqy
7,76,pgrvNJCOUNTcmvJcfdXO
232,372,asCeWNGdPHYfdSkJdqIr
212,459,medmGYfDyfrfJlpVnGFN
340,351,njBHrWrGVVatVflYSYMh
29,387,rloEpWwTPLyKhkNkvARg
67,330,AtrbkGvizTxfVcUvYoQM
469,817,NtAGwepuqWvzDhobMnVE
137,465,UXvGWBTlxdBgvlShVWsy
34,249,uqpyIWvGFkSSqAPyiKHf
608,816,kAcKsjOpNNOOGxuuVFVe
46,600,kCEsXFHGSnRDeNwmUehu
292,529,eSNNHNOEfJgsZjUrTQJN
341,403,gGvEydNknzLJAXjVHOlW
340,480,MFYDxsmoujAzOHgADFuP
36,137,AQceQiAyiAdqvpUrYDSt
52,87,DtXJDhpXDShUbQezGaRx
223,849,feiMfKPbVXPaINDgaTaL
174,246,CZmnzofbZRPdUglRoTlB
135,543,PprAXrPtXbCcfhYXoUvR
649,760,OwsktcpJDoxpUVbrytkp
156,228,IaqGCBxJXLYVZYguvURV
189,825,FXjpCLVjjDBxOQGRGafS
142,770,BxuODURywChrIOsPRQob
12,159,mrbgRrMfpWxFpVeizTYU
57,113,KZHwiMYUqNjPfSjlMfEF
287,477,aZuppPgGtpdzgaUHSCZx
186,727,INMjVtTQfgRVuyEQVGaw
225,949,midbgfKbPSLnsVWoyZIt
967,997,bLMYFSpKwUevcbtiUZQL
83,110,hvVTXlstRTobJqnYnOGg
60,925,iWktBRRkymrFMYUKsAHg
79,134,UwRBCgnzbHIcafINZvhf
106,145,IJhJxfejgTPfUjIROkAg
717,916,NsuoZLhtPHwXIhnuLxJz
49,91,nzaYROgzdvxtkkMLJJHB
333,465,SEiPtUPuvIZhwhSCIVMp
179,808,UkbxLhQvHuARWuziKMvZ
641,690,eAkzDMrTUQzHpmrCEwqR
256,974,SpSooCBkvVJAqueEGxMH
35,744,tMgEhtzDHJzqfiDEPOac
311,935,TFetGsDtjepSjrqiVznS
96,141,lbRiYiNVNUEMlpqItBua
41,541,kbrQtUpsBCowevGBOQlq
35,108,OYXQjfKuDcOtnYLepUED
8,25,KKfxbpeEtldtqoKpdRHy
128,391,YcqhzLHsFQPOdwYBTcrq
355,436,OdVBSZiTErhgewwaHatL
5,255,oyQFzzTIpupAuErlryTD
158,551,qjaigXwMHnWMbUzEPXdG
157,253,cHRsjhrxARwICCLxRcRy
